Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
13:46:09,49.6,0.0,0.4,49.9,0.0,25,1462,25324,244.03,
13:46:10,49.7,0.0,0.4,49.9,0.0,25,84,25162,247.89,
13:46:10,49.6,0.0,0.4,50.0,0.0,25,84,25058,245.12,
13:46:11,49.8,0.0,0.3,49.9,0.0,25,76,25150,247.67,
13:46:11,49.9,0.0,0.1,50.0,0.0,25,80,25080,245.81,
13:46:12,50.0,0.0,0.1,49.9,0.0,25,80,25152,246.71,
13:46:12,49.9,0.0,0.1,50.0,0.0,25,90,25070,246.15,
13:46:13,49.0,0.0,1.1,50.0,0.0,25,184,25256,246.20,
13:46:13,49.9,0.0,0.2,50.0,0.0,25,208,25150,246.84,
13:46:14,49.8,0.0,0.3,49.9,0.0,25,80,25156,246.87,
13:46:14,49.8,0.0,0.2,50.0,0.0,25,80,25054,247.03,
13:46:15,50.0,0.0,0.1,50.0,0.0,25,80,25154,247.01,
13:46:15,49.8,0.0,0.2,50.0,0.0,25,88,25092,245.73,
13:46:16,49.8,0.0,0.2,49.9,0.0,25,76,25154,246.01,
13:46:16,49.9,0.0,0.1,50.0,0.0,25,82,25060,246.68,
13:46:17,48.3,0.0,1.8,49.9,0.0,25,152,25196,246.92,
13:46:17,49.0,0.0,1.0,50.0,0.0,25,200,25144,240.60,
13:46:18,49.4,0.0,0.7,49.9,0.0,25,112,25030,240.51,
13:46:18,49.0,0.0,1.0,50.0,0.0,25,80,24812,248.19,
13:46:19,50.0,0.0,0.1,49.9,0.0,25,76,24922,246.17,
13:46:19,49.9,0.0,0.3,49.9,0.0,26,1298,25252,247.06,
13:46:20,49.8,0.0,0.2,50.0,0.0,25,78,25154,247.32,
13:46:20,49.9,0.0,0.1,50.0,0.0,25,92,25064,245.83,
13:46:21,49.9,0.0,0.1,50.0,0.0,25,144,25190,247.37,
13:46:21,48.1,0.0,2.0,50.0,0.0,25,208,25144,245.84,
13:46:22,49.3,0.0,0.8,50.0,0.0,25,72,25148,241.43,
13:46:22,49.3,0.0,0.7,50.0,0.0,25,88,25054,242.51,
13:46:23,49.9,0.0,0.2,50.0,0.0,25,72,25152,245.94,
13:46:23,49.9,0.0,0.1,50.0,0.0,25,84,25090,248.24,
13:46:24,48.4,0.0,1.6,50.0,0.0,25,80,25164,246.17,
13:46:24,48.7,0.0,1.3,50.0,0.0,25,72,25040,245.80,
13:46:25,48.9,0.0,1.2,49.9,0.0,25,156,25202,247.96,
13:46:25,49.9,0.0,0.1,50.0,0.0,25,214,25166,247.04,
13:46:26,50.0,0.0,0.1,49.9,0.0,25,100,25172,245.54,
13:46:26,49.9,0.0,0.2,50.0,0.0,25,88,25080,247.55,
13:46:27,50.0,0.0,0.1,50.0,0.0,25,78,25150,245.94,
13:46:27,49.9,0.0,0.2,50.0,0.0,25,84,25088,247.73,
13:46:28,50.0,0.0,0.1,49.9,0.0,25,112,24726,246.11,
13:46:28,49.8,0.0,0.2,50.0,0.0,25,80,24768,247.61,
13:46:29,49.9,0.0,0.2,49.9,0.0,25,140,25022,245.89,
13:46:29,49.6,0.0,0.8,49.5,0.0,27,8826,25802,247.84,
13:46:30,49.8,0.0,2.4,47.8,0.0,25,23886,29396,238.15,
13:46:30,49.4,0.0,0.6,50.0,0.0,25,84,24912,245.06,
13:46:31,48.2,0.0,1.9,49.9,0.0,25,160,25082,247.51,
13:46:31,49.5,0.0,0.5,50.0,0.0,26,94,25138,245.10,
13:46:32,49.0,0.0,1.0,49.9,0.0,25,82,25098,249.01,
13:46:32,49.9,0.0,0.1,50.0,0.0,25,86,24862,245.78,
13:46:33,49.9,0.0,0.2,49.9,0.0,25,152,25008,248.09,
13:46:33,50.0,0.0,0.0,50.0,0.0,25,204,25136,246.45,
13:46:34,49.9,0.0,0.2,49.9,0.0,25,76,24964,246.93,
13:46:34,49.8,0.0,0.2,50.0,0.0,25,86,24878,246.72,
13:46:35,49.9,0.0,0.1,49.9,0.0,25,80,25138,247.54,
13:46:35,49.9,0.0,0.1,50.0,0.0,25,102,25110,247.08,
