start: Sat Sep 15 13:45:28 UTC 2018
end: Sat Sep 15 13:47:27 UTC 2018
start: Sat Sep 15 13:47:27 UTC 2018
end: Sat Sep 15 13:49:53 UTC 2018
start: Sat Sep 15 13:49:53 UTC 2018
end: Sat Sep 15 13:52:55 UTC 2018
start: Sat Sep 15 13:52:55 UTC 2018
end: Sat Sep 15 13:56:36 UTC 2018
start: Sat Sep 15 13:56:36 UTC 2018
end: Sat Sep 15 14:01:00 UTC 2018
start: Sat Sep 15 14:01:00 UTC 2018
end: Sat Sep 15 14:06:18 UTC 2018
start: Sat Sep 15 14:06:18 UTC 2018
end: Sat Sep 15 14:12:28 UTC 2018
start: Sat Sep 15 14:12:28 UTC 2018
end: Sat Sep 15 14:19:45 UTC 2018
start: Sat Sep 15 14:19:45 UTC 2018
end: Sat Sep 15 14:19:46 UTC 2018
start: Sat Sep 15 14:19:46 UTC 2018
end: Sat Sep 15 14:19:47 UTC 2018
start: Sat Sep 15 14:19:47 UTC 2018
end: Sat Sep 15 14:19:50 UTC 2018
start: Sat Sep 15 14:19:50 UTC 2018
end: Sat Sep 15 14:19:56 UTC 2018
start: Sat Sep 15 14:19:56 UTC 2018
end: Sat Sep 15 14:20:07 UTC 2018
start: Sat Sep 15 14:20:07 UTC 2018
end: Sat Sep 15 14:20:25 UTC 2018
start: Sat Sep 15 14:20:25 UTC 2018
end: Sat Sep 15 14:20:52 UTC 2018
start: Sat Sep 15 14:20:52 UTC 2018
end: Sat Sep 15 14:21:31 UTC 2018
start: Sat Sep 15 14:21:31 UTC 2018
end: Sat Sep 15 14:22:24 UTC 2018
start: Sat Sep 15 14:22:24 UTC 2018
end: Sat Sep 15 14:23:35 UTC 2018
start: Sat Sep 15 14:23:35 UTC 2018
end: Sat Sep 15 14:23:35 UTC 2018
start: Sat Sep 15 14:23:35 UTC 2018
end: Sat Sep 15 14:25:08 UTC 2018
