Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
23:57:38,100.0,0.0,0.0,0.0,0.0,49,166,48222,245.66,
23:57:39,98.4,0.0,1.6,0.0,0.0,49,162,47930,244.99,
23:57:39,100.0,0.0,0.0,0.0,0.0,49,94,48072,246.70,
23:57:40,100.0,0.0,0.0,0.0,0.0,49,164,48050,246.14,
23:57:40,100.0,0.0,0.0,0.0,0.0,49,154,48012,246.17,
23:57:41,98.5,0.0,1.5,0.0,0.0,49,270,48080,245.58,
23:57:41,99.6,0.0,0.4,0.0,0.0,49,96,48258,246.17,
23:57:42,100.0,0.0,0.0,0.0,0.0,49,198,48122,246.17,
23:57:42,100.0,0.0,0.0,0.0,0.0,49,78,48012,246.20,
23:57:43,100.0,0.0,0.0,0.0,0.0,49,166,48012,246.08,
23:57:43,98.2,0.0,1.8,0.0,0.0,49,114,48068,245.39,
23:57:44,99.8,0.0,0.2,0.0,0.0,56,914,48534,245.98,
23:57:44,99.8,0.0,0.2,0.0,0.0,49,940,48578,245.67,
23:57:45,100.0,0.0,0.0,0.0,0.0,51,358,48130,246.18,
23:57:45,98.3,0.0,1.7,0.0,0.0,49,250,48796,245.66,
23:57:46,99.4,0.0,0.6,0.0,0.0,49,176,47854,246.15,
23:57:46,100.0,0.0,0.0,0.0,0.0,49,76,48538,246.15,
23:57:47,100.0,0.0,0.0,0.0,0.0,49,156,48342,246.22,
23:57:47,100.0,0.0,0.0,0.0,0.0,49,68,48062,246.01,
23:57:48,98.4,0.0,1.6,0.0,0.0,49,192,48174,245.33,
23:57:48,100.0,0.0,0.0,0.0,0.0,49,176,48110,246.32,
23:57:49,100.0,0.0,0.0,0.0,0.0,49,244,48062,246.21,
23:57:49,100.0,0.0,0.0,0.0,0.0,49,96,48112,246.30,
23:57:50,98.6,0.0,1.4,0.0,0.0,49,142,47962,245.00,
23:57:50,99.7,0.0,0.3,0.0,0.0,49,78,48110,246.38,
23:57:51,100.0,0.0,0.0,0.0,0.0,49,194,48082,246.06,
23:57:51,100.0,0.0,0.0,0.0,0.0,49,68,48056,246.31,
23:57:52,99.8,0.0,0.2,0.0,0.0,49,216,48154,246.26,
23:57:52,98.2,0.0,1.8,0.0,0.0,49,232,48170,245.61,
23:57:53,100.0,0.0,0.0,0.0,0.0,49,242,48028,246.18,
23:57:53,100.0,0.0,0.0,0.0,0.0,49,90,48068,246.40,
23:57:54,100.0,0.0,0.0,0.0,0.0,49,312,48134,246.34,
23:57:54,98.4,0.0,1.6,0.0,0.0,49,124,48070,244.79,
23:57:55,99.9,0.0,0.1,0.0,0.0,49,160,48068,244.54,
23:57:55,100.0,0.0,0.0,0.0,0.0,49,76,48060,244.61,
