T/V,N,NB,P,Q,Time,Gflops
WR11C2R4,2500,10,1,1,0.33,3.148e+01
WR11C2R4,7500,25,3,1,2.44,1.154e+02
WR11C2R4,15000,25,2,3,11.30,1.992e+02
WR11C2R4,30000,50,3,4,50.03,3.598e+02
WR11C2R4,60000,100,4,6,149.55,9.630e+02
WR11C2R4,120000,200,6,8,938.37,1.228e+03
