Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
02:29:53,24.5,0.0,0.5,75.0,0.0,13,166,13162,179.29,
02:29:53,24.5,0.0,0.5,75.0,0.0,14,316,13276,177.18,
02:29:54,24.7,0.0,0.4,74.9,0.0,13,116,13132,177.11,
02:29:54,24.6,0.0,0.5,75.0,0.0,13,178,13154,178.64,
02:29:55,24.5,0.0,0.5,74.9,0.0,13,132,13152,178.65,
02:29:55,24.6,0.0,0.4,75.0,0.0,14,152,13144,177.42,
02:29:56,24.7,0.0,0.4,74.9,0.0,13,120,13120,177.90,
02:29:56,24.4,0.0,0.7,75.0,0.0,13,208,13236,177.89,
02:29:57,24.7,0.0,0.4,75.0,0.0,13,192,13184,178.49,
02:29:57,24.6,0.0,0.5,75.0,0.0,14,330,13316,178.00,
02:29:58,24.4,0.0,0.7,74.9,0.0,13,156,13166,177.66,
02:29:58,24.6,0.0,0.4,75.0,0.0,13,190,13182,178.01,
02:29:59,24.6,0.0,0.4,74.9,0.0,13,184,13198,178.64,
02:29:59,24.6,0.0,0.5,74.9,0.0,14,584,13718,179.58,
02:30:00,24.5,0.0,0.6,74.9,0.0,13,136,13126,181.04,
02:30:00,24.6,0.0,0.5,75.0,0.0,13,218,13180,180.65,
02:30:01,24.5,0.0,0.5,75.0,0.0,13,184,13170,180.11,
02:30:01,24.5,0.0,0.5,75.0,0.0,14,324,13320,179.04,
02:30:02,24.6,0.0,0.7,74.7,0.0,13,1532,14050,175.93,
02:30:02,24.6,0.0,0.5,74.9,0.0,15,234,13158,177.91,
02:30:03,24.4,0.0,0.6,75.0,0.0,13,140,13162,178.84,
02:30:03,24.6,0.0,0.4,74.9,0.0,14,174,13146,177.67,
02:30:04,24.5,0.0,0.5,75.0,0.0,13,172,13174,177.71,
02:30:04,24.5,0.0,0.5,75.0,0.0,13,224,13200,178.08,
02:30:05,24.6,0.0,0.5,75.0,0.0,13,186,13176,177.90,
02:30:05,24.4,0.0,0.6,75.0,0.0,14,328,13288,178.63,
02:30:06,24.6,0.0,0.5,75.0,0.0,13,164,13180,177.18,
02:30:06,24.4,0.0,0.6,75.0,0.0,13,218,13178,177.48,
02:30:07,24.5,0.0,0.5,75.0,0.0,13,156,13164,177.75,
02:30:07,24.5,0.0,0.5,74.9,0.0,14,164,13152,178.08,
02:30:08,24.4,0.0,0.6,74.9,0.0,13,174,13202,178.16,
02:30:08,24.4,0.0,0.6,75.0,0.0,13,254,13208,177.63,
02:30:09,24.5,0.0,0.6,74.9,0.0,13,220,13188,177.60,
02:30:09,24.3,0.0,0.7,75.0,0.0,14,376,13348,177.42,
02:30:10,24.5,0.0,0.5,75.0,0.0,13,174,13176,177.16,
02:30:10,24.3,0.0,0.7,75.0,0.0,13,250,13186,176.72,
02:30:11,24.6,0.0,0.5,74.9,0.0,13,174,13178,176.47,
02:30:11,24.4,0.0,0.7,75.0,0.0,14,254,13216,177.28,
02:30:12,24.5,0.0,0.6,74.9,0.0,13,1356,13458,176.89,
02:30:12,24.3,0.0,0.7,74.9,0.0,13,256,13192,178.38,
02:30:13,24.3,0.0,0.7,75.0,0.0,13,240,13198,177.84,
02:30:13,24.3,0.0,0.7,75.0,0.0,14,386,13308,176.94,
02:30:14,24.4,0.0,0.6,75.0,0.0,13,260,13260,177.33,
02:30:14,24.4,0.0,0.7,75.0,0.0,13,292,13208,177.35,
02:30:15,24.3,0.0,0.7,74.9,0.0,13,226,13208,176.91,
02:30:15,24.4,0.0,0.7,75.0,0.0,14,298,13220,177.15,
02:30:16,24.3,0.0,0.8,74.9,0.0,13,260,13186,177.55,
02:30:16,24.2,0.0,0.8,75.0,0.0,13,376,13282,176.91,
02:30:17,24.1,0.0,0.9,75.0,0.0,13,408,13274,176.82,
02:30:17,24.0,0.0,1.1,74.9,0.0,14,558,13392,177.30,
02:30:18,24.0,0.0,1.2,74.9,0.0,13,490,13328,176.36,
02:30:18,23.7,0.0,1.4,74.9,0.0,13,818,13488,175.66,
02:30:19,23.9,0.0,1.2,74.9,0.0,13,1360,13594,172.93,
02:30:19,25.1,0.0,0.0,74.9,0.0,14,108,13116,177.71,
02:30:20,23.6,0.0,0.4,76.0,0.0,2,520,13236,173.10,
02:30:20,40.4,0.0,5.8,53.8,0.0,25,4408,24630,223.52,
02:30:21,45.1,0.0,4.9,50.0,0.0,25,132,24894,242.00,
02:30:21,45.0,0.0,5.0,50.0,0.0,25,342,24990,241.84,
02:30:22,45.2,0.0,4.9,49.9,0.0,25,1204,25188,241.90,
02:30:22,43.8,0.0,6.3,49.9,0.0,25,686,25222,239.91,
02:30:23,49.4,0.0,0.7,50.0,0.0,25,120,25216,245.76,
02:30:23,48.8,0.0,1.3,50.0,0.0,25,226,25072,246.28,
02:30:24,49.2,0.0,0.9,49.9,0.0,25,100,25034,246.07,
02:30:24,49.9,0.0,0.1,50.0,0.0,26,140,25084,247.77,
02:30:25,49.3,0.0,0.8,50.0,0.0,25,144,25104,247.19,
02:30:25,49.3,0.0,0.8,50.0,0.0,25,276,25170,247.84,
02:30:26,50.0,0.0,0.0,50.0,0.0,25,84,25110,248.96,
02:30:26,49.2,0.0,0.8,50.0,0.0,26,170,25272,248.18,
02:30:27,48.9,0.0,1.1,50.0,0.0,25,100,25114,248.82,
02:30:27,50.0,0.0,0.0,50.0,0.0,25,110,25110,249.13,
02:30:28,49.0,0.0,1.0,49.9,0.0,25,116,25144,248.43,
02:30:28,49.3,0.0,0.7,50.0,0.0,26,146,25202,249.15,
02:30:29,49.5,0.0,0.5,50.0,0.0,25,148,25118,249.09,
02:30:29,49.8,0.0,0.2,50.0,0.0,25,254,24960,249.11,
02:30:30,49.3,0.0,0.8,50.0,0.0,25,92,24752,249.29,
02:30:30,49.2,0.0,0.8,50.0,0.0,26,138,25010,248.75,
02:30:31,50.0,0.0,0.0,50.0,0.0,26,70,25094,249.29,
02:30:31,49.4,0.0,0.7,49.9,0.0,25,122,25130,249.45,
02:30:32,49.4,0.0,0.8,49.8,0.0,25,1334,25646,249.14,
02:30:32,49.2,0.0,0.8,49.9,0.0,26,138,25204,249.02,
02:30:33,49.9,0.0,0.1,50.0,0.0,25,134,25104,249.68,
02:30:33,49.0,0.0,1.0,50.0,0.0,25,256,25212,248.92,
02:30:34,49.4,0.0,0.6,50.0,0.0,25,94,25114,249.21,
02:30:34,49.9,0.0,0.2,50.0,0.0,26,134,25158,249.36,
02:30:35,49.4,0.0,0.7,50.0,0.0,25,82,25104,249.12,
02:30:35,49.3,0.0,0.8,49.9,0.0,25,142,25130,249.70,
02:30:36,49.4,0.0,0.6,50.0,0.0,25,90,25108,248.84,
02:30:36,50.0,0.0,0.0,49.9,0.0,26,120,25150,249.30,
02:30:37,49.4,0.0,0.7,50.0,0.0,25,146,25118,249.59,
02:30:37,49.3,0.0,0.8,50.0,0.0,25,268,25220,248.69,
02:30:38,49.1,0.0,1.0,49.9,0.0,25,118,25138,248.82,
02:30:38,50.0,0.0,0.1,50.0,0.0,26,120,25204,249.28,
02:30:39,48.9,0.0,1.1,50.0,0.0,25,104,25120,248.53,
02:30:39,49.4,0.0,0.7,49.9,0.0,25,142,25148,249.09,
02:30:40,49.3,0.0,0.7,50.0,0.0,25,94,25112,248.80,
02:30:40,50.0,0.0,0.0,50.0,0.0,26,112,25156,249.14,
02:30:41,49.3,0.0,0.8,50.0,0.0,25,148,25110,249.12,
02:30:41,49.4,0.0,0.6,49.9,0.0,25,248,25214,249.14,
02:30:42,49.4,0.0,0.7,49.9,0.0,25,1240,25386,248.66,
02:30:42,50.0,0.0,0.0,49.9,0.0,26,116,25204,249.49,
02:30:43,49.3,0.0,0.7,50.0,0.0,25,92,25108,248.68,
02:30:43,49.1,0.0,0.9,50.0,0.0,25,102,25112,248.58,
02:30:44,49.1,0.0,1.0,50.0,0.0,25,94,25112,249.22,
02:30:44,50.0,0.0,0.0,49.9,0.0,26,108,25154,248.85,
02:30:45,49.3,0.0,0.7,50.0,0.0,25,140,25102,249.12,
02:30:45,49.3,0.0,0.7,50.0,0.0,25,264,25232,249.24,
02:30:46,49.3,0.0,0.7,50.0,0.0,25,90,25112,248.83,
02:30:46,49.8,0.0,0.3,50.0,0.0,26,126,25148,249.10,
02:30:47,49.6,0.0,0.5,50.0,0.0,25,76,25104,249.23,
02:30:47,49.4,0.0,0.6,50.0,0.0,25,122,25112,249.02,
02:30:48,49.2,0.0,0.9,49.9,0.0,25,134,25146,249.37,
02:30:48,49.2,0.0,0.8,49.9,0.0,26,128,25200,248.69,
02:30:49,50.0,0.0,0.1,50.0,0.0,25,138,25100,248.85,
02:30:49,49.0,0.0,1.0,50.0,0.0,25,244,25210,249.36,
02:30:50,49.5,0.0,0.6,50.0,0.0,25,98,25118,248.74,
02:30:50,49.0,0.0,1.0,50.0,0.0,26,126,25150,248.88,
02:30:51,49.9,0.0,0.2,49.9,0.0,25,100,25116,248.91,
02:30:51,49.5,0.0,0.5,50.0,0.0,25,96,25102,249.18,
02:30:52,51.8,0.0,0.9,47.3,0.0,26,37944,29568,249.77,
02:30:52,49.2,0.0,0.9,49.9,0.0,26,280,25508,249.14,
02:30:53,49.3,0.0,0.8,50.0,0.0,25,148,24832,248.88,
02:30:53,50.0,0.0,0.1,50.0,0.0,25,242,25150,249.13,
02:30:54,49.4,0.0,0.7,49.9,0.0,25,80,25106,248.68,
02:30:54,48.9,0.0,1.1,50.0,0.0,26,138,25146,248.71,
02:30:55,49.4,0.0,0.6,50.0,0.0,25,100,25114,249.11,
02:30:55,49.2,0.0,0.8,50.0,0.0,25,118,25112,249.08,
02:30:56,49.8,0.0,0.2,50.0,0.0,25,102,25118,249.13,
02:30:56,49.6,0.0,0.5,50.0,0.0,26,100,25130,249.28,
02:30:57,49.4,0.0,0.6,49.9,0.0,25,156,25120,248.89,
02:30:57,49.4,0.0,0.6,50.0,0.0,25,234,25212,249.22,
02:30:58,49.3,0.0,0.8,49.9,0.0,25,158,25262,249.13,
02:30:58,49.1,0.0,0.9,50.0,0.0,26,128,25146,248.74,
02:30:59,50.0,0.0,0.0,49.9,0.0,25,128,25160,248.87,
02:30:59,49.2,0.0,0.8,50.0,0.0,25,98,25104,248.97,
02:31:00,49.3,0.0,0.7,50.0,0.0,25,94,25116,249.23,
02:31:00,49.3,0.0,0.7,50.0,0.0,26,118,25146,248.87,
02:31:01,49.4,0.0,0.7,49.9,0.0,25,148,24794,249.00,
02:31:01,49.4,0.0,0.6,50.0,0.0,25,230,25056,249.22,
02:31:02,50.1,0.0,0.3,49.7,0.0,25,1432,26476,249.34,
02:31:02,49.4,0.0,0.6,50.0,0.0,26,162,25174,249.41,
02:31:03,49.2,0.0,0.8,49.9,0.0,25,100,25118,249.06,
02:31:03,49.3,0.0,0.8,50.0,0.0,25,108,25108,249.29,
02:31:04,49.2,0.0,0.9,49.9,0.0,25,110,25126,249.07,
02:31:04,49.5,0.0,0.5,50.0,0.0,26,132,25172,249.04,
02:31:05,49.3,0.0,0.8,49.9,0.0,25,152,25104,249.40,
02:31:05,50.0,0.0,0.0,50.0,0.0,25,224,25212,249.47,
02:31:06,49.4,0.0,0.7,49.9,0.0,25,122,25190,249.30,
02:31:06,49.5,0.0,0.5,50.0,0.0,26,130,25078,249.03,
02:31:07,49.4,0.0,0.7,50.0,0.0,25,92,24970,249.40,
02:31:07,49.4,0.0,0.7,50.0,0.0,25,116,25062,249.14,
02:31:08,49.3,0.0,0.8,49.9,0.0,25,134,25150,249.02,
02:31:08,49.0,0.0,1.1,49.9,0.0,26,122,25200,248.84,
02:31:09,49.6,0.0,0.4,50.0,0.0,25,156,25114,249.31,
02:31:09,49.8,0.0,0.2,50.0,0.0,25,252,25214,249.40,
02:31:10,49.3,0.0,0.8,49.9,0.0,25,142,25210,249.06,
02:31:10,49.4,0.0,0.6,50.0,0.0,26,120,25150,249.31,
02:31:11,49.6,0.0,0.5,49.9,0.0,25,96,25112,249.26,
02:31:11,49.5,0.0,0.5,50.0,0.0,25,100,25108,249.15,
02:31:12,49.5,0.0,0.7,49.9,0.0,25,1146,25434,248.97,
02:31:12,49.1,0.0,0.9,50.0,0.0,26,130,25156,249.16,
02:31:13,49.1,0.0,0.9,50.0,0.0,25,152,25114,249.24,
02:31:13,49.5,0.0,0.5,50.0,0.0,25,238,25210,249.22,
02:31:14,49.8,0.0,0.3,49.9,0.0,25,118,25178,249.37,
02:31:14,49.6,0.0,0.4,50.0,0.0,26,104,25142,249.03,
02:31:15,49.5,0.0,0.6,49.9,0.0,25,106,25132,249.22,
02:31:15,49.4,0.0,0.6,50.0,0.0,25,108,25112,249.07,
02:31:16,49.4,0.0,0.6,49.9,0.0,25,98,25114,249.53,
02:31:16,49.3,0.0,0.8,50.0,0.0,26,130,25150,249.30,
02:31:17,49.1,0.0,0.9,50.0,0.0,25,160,25108,249.20,
02:31:17,49.1,0.0,0.9,49.9,0.0,25,252,25020,248.99,
02:31:18,49.4,0.0,0.6,49.9,0.0,25,134,24974,249.29,
02:31:18,49.0,0.0,1.0,50.0,0.0,26,126,25038,249.40,
02:31:19,49.4,0.0,0.6,50.0,0.0,25,96,24936,249.13,
02:31:19,49.5,0.0,0.5,50.0,0.0,25,106,24958,249.44,
02:31:20,49.4,0.0,0.6,50.0,0.0,25,98,24990,249.24,
